side,phase,observed,expected,lo,hi
Equalising team (was losing),15 min after,0.08476824088861358,0.0803992999408989,0.07881154336029256,0.08910876432512013
Equalising team (was losing),15 min before,0.06109678215482852,0.06287586637058803,0.05717692312450362,0.06495221536106512
Opponent (was leading),15 min after,0.0796720704107944,0.08189873561815762,0.07528736474801284,0.08435889631692407
Opponent (was leading),15 min before,0.11191031750047088,0.08556938835308134,0.10703121439349766,0.11736385216633087
